**********************************************
* Logging started at ÖÜÈÕ 1ÔÂ 28 22:01:02 2024
* By flac3d Version 7.00 Release 126
* 
* 
* Job Title: 
**********************************************
flac3d>zone list stress range position-x 0 500 position-y 0 300 position-z 14.9 17.1
Zone total stress tensor.
     ID            XX            YY            ZZ            XY            YZ            XZ 
------- ------------- ------------- ------------- ------------- ------------- ------------- 
 158114 -1.910576e+07 -1.905320e+07 -1.524478e+07  6.763569e+02  6.301000e+03 -5.241948e+04 
 158115 -1.898610e+07 -1.902196e+07 -1.597548e+07 -3.003192e+04  2.813931e+04  1.136042e+04 
 158116 -1.904847e+07 -1.903522e+07 -1.573201e+07 -2.374283e+03  5.598272e+03 -7.842900e+04 
 158117 -1.910668e+07 -1.904460e+07 -1.544709e+07  6.179154e+03  7.805548e+03  2.975433e+04 
 158118 -1.907566e+07 -1.904520e+07 -1.549165e+07  6.683009e+03  6.911303e+03  8.455287e+02 
 158119 -1.907855e+07 -1.904645e+07 -1.547625e+07  5.944878e+03  7.255607e+03  7.889813e+02 
 158120 -1.907518e+07 -1.904733e+07 -1.547061e+07  4.781049e+03  7.312514e+03  3.312588e+02 
 158121 -1.907293e+07 -1.904813e+07 -1.546316e+07  3.481780e+03  7.364857e+03  8.272980e+01 
 158122 -1.906440e+07 -1.904881e+07 -1.546347e+07  2.100566e+03  7.347097e+03  8.394723e+03 
 158123 -1.910441e+07 -1.905545e+07 -1.524435e+07  7.243168e+02  7.227745e+03 -5.241745e+04 
 158124 -1.903145e+07 -1.904358e+07 -1.586894e+07  3.654857e+04 -1.482410e+03  7.234637e+04 
 158125 -1.905177e+07 -1.903813e+07 -1.575118e+07  1.088993e+04 -2.012830e+03 -9.131211e+04 
 158126 -1.911066e+07 -1.904686e+07 -1.544390e+07  8.834590e+03  7.169707e+03  3.110553e+04 
 158127 -1.907454e+07 -1.904770e+07 -1.549412e+07  7.633295e+03  6.456877e+03  3.623932e+02 
 158128 -1.907743e+07 -1.904885e+07 -1.547747e+07  6.528599e+03  7.406907e+03  4.676195e+02 
 158129 -1.907383e+07 -1.904981e+07 -1.547125e+07  5.142980e+03  7.767168e+03  2.078111e+02 
 158130 -1.907148e+07 -1.905054e+07 -1.546334e+07  3.765338e+03  7.977432e+03  5.627858e+01 
 158131 -1.906293e+07 -1.905109e+07 -1.546335e+07  2.315096e+03  8.042157e+03  8.407626e+03 
 158132 -1.910299e+07 -1.905772e+07 -1.524409e+07  8.718042e+02  7.990835e+03 -5.241553e+04 
 158133 -1.899656e+07 -1.902984e+07 -1.591613e+07  3.641382e+04 -1.419682e+04  6.003787e+04 
 158134 -1.902767e+07 -1.903948e+07 -1.581047e+07  1.344243e+04 -8.823416e+03 -1.109323e+05 
 158135 -1.911223e+07 -1.905000e+07 -1.544460e+07  1.038940e+04  4.859550e+03  3.128336e+04 
 158136 -1.907233e+07 -1.905028e+07 -1.549886e+07  8.388894e+03  5.109964e+03 -8.852557e+02 
 158137 -1.907602e+07 -1.905148e+07 -1.547975e+07  6.925443e+03  6.883350e+03 -4.192906e+02 
 158138 -1.907237e+07 -1.905237e+07 -1.547257e+07  5.441079e+03  7.730214e+03 -2.777572e+02 
